vendor,product_name,current_price,old_price,month
Metro,"Vanilla Biscotti K-Cup® Coffee Pods, Gourmet Sélections",16.99,22.99,9
Metro,"Midnight Gold™ Ground Coffee, 1850",11.99,13.99,6
Metro,"Midnight Gold™ Ground Coffee, 1850",11.99,13.99,7
Metro,"Pioneer Blend™ Ground Coffee, 1850",11.99,13.99,6
Metro,"Pioneer Blend™ Ground Coffee, 1850",11.99,13.99,7
Metro,"Pioneer Blend™Coffee Beans, 1850",11.99,13.99,6
Metro,"Pioneer Blend™Coffee Beans, 1850",11.99,13.99,7
Metro,Frozen Coffee Chip Keto Dessert,8.99,9.99,6
Metro,Frozen Coffee Chip Keto Dessert,8.99,9.99,7
Metro,Mocha Coffee Flavoured Cupcakes,1.99,2.3899999999999997,7
Metro,Cinnamon Dolce Latte Coffee Whiteners,7.49,8.99,6
Metro,"Medium Roast Half-Caffeine K-Cup® Coffee Capsule, Ke...",9.99,12.99,6
Metro,Organic Decaf Coffee Beans,11.99,19.29,7
Metro,Organic Cliff Hanger Espresso Coffee Beans,11.99,19.29,7
Metro,Organic Smart Ass Coffee Beans,11.99,19.29,7
Metro,Organic Kick Ass Coffee Beans,11.99,19.29,7
Metro,Organic Three Sisters Coffee Beans,11.99,19.29,7
Metro,Organic 454 Horse Power Coffee Beans,11.99,19.29,7
Metro,"Medium And Dark Roasts Blend Smooth Instant Coffee, ...",2,8.29,6
Metro,"Medium And Dark Roasts Blend Smooth Instant Coffee, ...",5.99,8.29,7
Metro,"Medium And Dark Roasts Blend Smooth Instant Coffee, ...",6.99,8.29,7
Metro,Mountain Roast Ground Coffee,8.99,12.49,6
Metro,"Midnight Gold™ Coffee Beans, 1850",11.99,13.99,6
Metro,"Midnight Gold™ Coffee Beans, 1850",11.99,13.99,7
Metro,"100% Colombian Ground Coffee, 1850",11.99,13.99,6
Metro,"100% Colombian Ground Coffee, 1850",11.99,13.99,7
Metro,"Caramel Drizzle K-Cup® Coffee Pods, Gourmet Selections",9.49,9.99,6
Metro,"Caramel Drizzle K-Cup® Coffee Pods, Gourmet Selections",9.49,9.99,7
Metro,"Medium Roast Flavoured Fine Ground Coffee, Hazelnut",9.99,10.99,6
Metro,"Medium Roast Flavoured Fine Ground Coffee, Hazelnut",9.99,10.99,7
Metro,"Coffee Crisp Minis Chocolate Bite, Coffee Crisp",2.9899999999999998,6.49,6
Metro,"Coffee Crisp Minis Chocolate Bite, Coffee Crisp",3.44,6.49,9
Metro,Sweet & Creamy Instant Coffee Mix,2,8.79,6
Metro,Sweet & Creamy Instant Coffee Mix,5.99,8.79,7
Metro,Sweet & Creamy Instant Coffee Mix,6.99,8.79,7
Metro,Organic Hola Ground Coffee,9.99,13.99,6
Metro,Organic Hola Coffee Beans,11.99,19.29,7
Metro,Organic Pacific Pipeline Coffee Beans,11.99,19.29,7
Metro,Colombian Medium Ground Coffee,9.99,13.99,6
Metro,"Medium Roast Ground Coffee, Colombian Medium",22.99,24.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Brew Over Ice",9.99,12.99,6
Metro,"Medium Roast K-Cup Coffee Pods, Brew Over Ice",11.49,12.99,8
Metro,"Medium Roast K-Cup Coffee Pods, Brew Over Ice",9.99,12.99,9
Metro,Mushroom And Coffee Mix With Chaga,21.39,22.49,8
Metro,Chocolate Chip Coffee Frozen Dessert,8.99,9.99,7
